,학교명,위도,경도
1152,국립국악중학교,37.47628967,127.0511892
2342,국립전통예술중학교,37.44636909,126.9064673
4235,금천문화예술정보학교,37.47926444,126.9072211
5476,서울다솜관광고등학교,37.57209208,127.0172947
7709,서울산업정보학교,37.47050647,126.9419419
9005,서울실용음악고등학교,37.56334363,127.0206354
10833,서초문화예술정보학교,37.48806568,127.0299741
11504,선화예술중학교,37.55098142,127.0870937
13516,아현산업정보학교,37.5570236,126.9580154
15344,여명학교,37.56111529,126.864217
17009,예원학교,37.5669814,126.9715397
17811,오디세이학교,37.57209208,127.0172947
19236,은평문화예술정보학교,37.58958023,126.9191205
21013,종로산업정보학교,37.57256874,127.0171865
22073,서울명신초등학교,37.58144971,127.0146244
22074,서울재동초등학교,37.58002917,126.9851729
22075,서울창신초등학교,37.57621192,127.0142971
22076,서울청운초등학교,37.58601787,126.9691835
22077,서울혜화초등학교,37.58863646,127.0002516
22078,린덴바움유치원,37.57476936,126.9615723
22079,배화여자대학교,37.57954091,126.9672914
22080,봄샘유치원,37.573453,127.0065561
22081,상명사대부속유치원,37.60074594,126.9564214
22082,세검정유치원,37.60026988,126.9596556
22083,세종유치원,37.57541092,126.9700201
22084,옥인유치원,37.58222561,126.9703453
22085,운현유치원,37.57663084,126.9881624
22086,청룡유치원,37.57941224,127.0166552
22087,한아름유치원,37.5905266,127.0010756
22088,혜화유치원,37.5868767,127.0031284
22089,서울대학교사범대학부설초등학교,37.57759678,127.0042935
22090,서울교동초등학교,37.57500887,126.9881504
22091,서울독립문초등학교,37.57421467,126.9599724
22092,서울매동초등학교,37.57750154,126.966946
22094,서울세검정초등학교,37.60348111,126.9610832
22099,서울효제초등학교,37.57268832,127.0034871
22100,상명대학교사범대학부속초등학교,37.60074594,126.9564214
22101,운현초등학교,37.57663084,126.9881624
22102,서울대학교사범대학부설여자중학교,37.57759678,127.0042935
22103,청운중학교,37.58917195,126.9713028
22104,경신중학교,37.59219852,126.9995359
22105,대신중학교,37.57312668,126.9612555
22106,덕성여자중학교,37.57778454,126.9819088
22107,동성중학교,37.58506495,127.0030506
22108,배화여자중학교,37.57954091,126.9672914
22109,상명대학교사범대학부속여자중학교,37.60410469,126.9551628
22110,중앙중학교,37.58378825,126.9874769
22111,경기상업고등학교,37.5892602,126.970056
22112,경복고등학교,37.585948,126.9715056
22113,서울과학고등학교,37.59154946,126.9984349
22114,서울국제고등학교,37.59179476,126.9954875
22115,경신고등학교,37.59219852,126.9995359
22116,대동세무고등학교,37.58158473,126.9879483
22117,대신고등학교,37.57312668,126.9612555
22118,덕성여자고등학교,37.57775352,126.9835395
22119,동성고등학교,37.58506495,127.0030506
22120,배화여자고등학교,37.57954091,126.9672914
22121,상명대학교사범대학부속여자고등학교,37.60410469,126.9551628
